Hora	ID	Video	sigma (px) software	Escala ("/px)	sigma (")	r0(cm)	theta	Altura (°)	Angulo Horario(°)	Correccion al zenit	Seeing
19:22	14	G_3_Altair_190924_19_22_DSC_0049_Prisma'	1.0598	1.40	1.4837	2.93	3.79	81° 42’ 01.7’’	23h31m15,71s	1.0352821	3.93
19:28	15	G_3_Altair_190924_19_28_DSC0050_Mascara'	1.1296	1.40	1.5815	2.72	4.09	82° 55’ 53.8’’	23h37m16,58s	1.0348222	4.24
20:05	11	G-2_Vega_270824_LT200500_Mascara'	0.8440	1.40	1.1815	3.85	2.89	55°48'35,5"	23h58m45,07s	1.0332090	2.98
20:10	12	G-2_Vega_270824_LT201000_Prisma'	1.1457	1.40	1.6040	2.67	4.16	55°48'01,3"	0h03m45,76s	1.0028158	4.18
20:24	16	G_3_Altair_190924_20_24_DSC0064_Prisma'	0.9000	1.40	1.2599	3.57	3.12	80° 36’ 13.8’’	0h33m56,85s	1.0028635	3.13
20:29	17	G_3_Altair_190924_20_29_DSC0065_Mascara'	0.9329	1.40	1.3061	3.42	3.25	79° 29’ 02.0’’	0h38m44,55s	1.0028781	3.26
20:33	8	G-2_Sabik_270824_LT203300_Prisma'	0.9171	1.40	1.2839	3.49	3.19	55°27'29"	1h52m46,49s	1.0420812	3.32
20:33	9	G-2_Sabik_270824_LT203300_Prisma_conf'	1.1264	1.40	1.5770	2.72	4.08	55°27'29"	1h52m46,49s	1.0420812	4.25
20:37	13	G-2_Vega_270824_LT203700_Prisma'	0.9578	1.40	1.3410	3.31	3.36	55°06'07,6"	0h30m49,46s	1.0028550	3.37
20:48	10	G-2_Sabik_270824_LT204800_Mascara'	0.9557	1.40	1.3379	3.32	3.35	52°23'23,3"	2h7m48,56s	1.1571976	3.88
21:04	6	G-2_KausAustralis_270824_LT210400_Mascara'	0.9769	1.40	1.3676	3.23	3.44	47°41'38,6"	1h9m50,69s	1.0385203	3.57
