No.,Fecha,Hora_UT,Nombre_Archivo,Ganancia,Exposicion,Resolucion,Binning,Estrella,Coord_Alt,Coord_Az,Dist_Zen,RA,Dec,HA,Sigma[px],Sigma[arcsec],r0[cm],FWHM,Seeing_uncorrected[arcsec],Airmass,Seeing [arcsec],std_seeing,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
1,11/6/2018,23:53:41,Capture 23_53_40Z,450,30.0,1920x1200,1x1,Altair,58.2071,281.7473,31.7929,19h50m47.00s,8°52m5.96s,2h06m59.69824706s,1.011,0.596,7.649,2.38,1.321,1.16,1.533,0.033826354,,,,,,,,
2,11/6/2018,23:54:57,Capture 23_54_57Z,450,30.0,1920x1200,1x1,Altair,57.8967,281.6621,32.1033,19h50m47.00s,8°52m5.96s,2h08m15.90632441s,1.006,0.594,7.688,2.37,1.315,1.16,1.525,0.080416969,,,,,,,,
3,11/6/2018,23:56:47,Capture 23_56_47Z,450,30.0,1920x1200,1x1,Altair,57.4472,281.5422,32.5528,19h50m47.00s,8°52m5.96s,2h10m06.20748901s,1.104,0.651,6.882,2.599,1.469,1.161,1.705,0.025302613,,,,,,,,
4,11/7/2018,0:26:44,Capture 00_26_44Z,450,30.0,1920x1200,1x1,Enif,76.8309,301.2743,13.1691,21h44m11.16s,9°52m30.03s,0h46m43.96983743s,0.816,0.482,9.885,1.922,1.022,1.007,1.029,0.047541794,,,,,,,,
5,11/7/2018,0:27:28,Capture 00_27_28Z,450,20.0,1920x1200,1x1,Enif,76.6737,300.8823,13.3263,21h44m11.16s,9°52m30.03s,0h47m28.09030335s,0.834,0.492,9.631,1.964,1.049,1.007,1.057,0.090488796,,,,,,,,
6,11/7/2018,0:28:40,Capture 00_28_40Z,480,10.0,1920x1200,1x1,Enif,76.4151,300.2608,13.5849,21h44m11.16s,9°52m30.03s,0h48m40.2874294s,0.961,0.567,8.129,2.263,1.243,1.007,1.252,0.097960309,,,,,,,,
7,11/7/2018,0:29:27,Capture 00_29_27Z,480,20.0,1920x1200,1x1,Enif,76.2454,299.868,13.7546,21h44m11.16s,9°52m30.03s,0h49m27.4161089s,0.798,0.471,10.157,1.879,0.995,1.007,1.002,0.101929169,,,,,,,,
8,11/7/2018,0:48:53,Capture 00_48_53Z,450,80.0,1920x1200,1x1,Sadalmelik,77.9525,253.5115,12.0475,22h05m47.04s,-0°19m11.46s,0h47m20.72904959s,0.75,0.443,10.936,1.767,0.924,1.001,0.926,0.029028721,,,,,,,,
9,11/7/2018,0:50:53,Capture 00_50_53Z,450,50.0,1920x1200,1x1,Sadalmelik,77.4716,254.1792,12.5284,22h05m47.04s,-0°19m11.46s,0h49m21.05759306s,0.757,0.446,10.829,1.782,0.933,1.001,0.935,0.036359318,,,,,,,,
10,11/7/2018,0:52:11,Capture 00_52_11Z,450,40.0,1920x1200,1x1,Sadalmelik,77.1583,254.5868,12.8417,22h05m47.04s,-0°19m11.46s,0h50m39.27114632s,0.756,0.446,10.834,1.781,0.933,1.001,0.916,0.021171259,,,,,,,,
